[2020-08-08T09:53:03.993] [INFO] default - item A010D0H monthdata done
[2020-08-08T09:53:04.532] [INFO] default - item A010D0I data_index done
[2020-08-08T09:53:14.359] [INFO] default - item A010D0I monthdata done
[2020-08-08T09:53:14.790] [INFO] default - item A010D0J data_index done
[2020-08-08T09:53:19.934] [INFO] default - item A010D0J monthdata done
[2020-08-08T09:53:20.815] [INFO] default - item A010D0K data_index done
[2020-08-08T09:53:34.256] [INFO] default - item A010D0K monthdata done
[2020-08-08T09:53:34.923] [INFO] default - item A010D0L data_index done
[2020-08-08T09:53:48.389] [INFO] default - item A010D0L monthdata done
[2020-08-08T09:53:48.756] [INFO] default - item A010D0M data_index done
[2020-08-08T09:53:54.095] [INFO] default - item A010D0M monthdata done
[2020-08-08T09:53:54.370] [INFO] default - item A010D0N data_index done
[2020-08-08T09:53:58.131] [INFO] default - item A010D0N monthdata done
[2020-08-08T09:53:59.309] [INFO] default - item A010D0O data_index done
[2020-08-08T09:54:16.885] [INFO] default - item A010D0O monthdata done
[2020-08-08T09:54:17.352] [INFO] default - item A010D0P data_index done
[2020-08-08T09:54:25.268] [INFO] default - item A010D0P monthdata done
[2020-08-08T09:54:25.828] [INFO] default - item A010D0Q data_index done
[2020-08-08T09:54:35.278] [INFO] default - item A010D0Q monthdata done
[2020-08-08T09:54:36.102] [INFO] default - item A010D0R data_index done
[2020-08-08T09:54:52.801] [INFO] default - item A010D0R monthdata done
[2020-08-08T09:54:53.699] [INFO] default - item A010D0S data_index done
[2020-08-08T09:55:10.209] [INFO] default - item A010D0S monthdata done
[2020-08-08T09:55:11.013] [INFO] default - item A010D0T data_index done
[2020-08-08T09:55:26.165] [INFO] default - item A010D0T monthdata done
[2020-08-08T09:55:26.821] [INFO] default - item A010D0U data_index done
[2020-08-08T09:55:38.198] [INFO] default - item A010D0U monthdata done
[2020-08-08T09:55:38.963] [INFO] default - item A010D0V data_index done
[2020-08-08T09:55:52.881] [INFO] default - item A010D0V monthdata done
[2020-08-08T09:55:53.604] [INFO] default - item A010D0W data_index done
[2020-08-08T09:56:05.832] [INFO] default - item A010D0W monthdata done
[2020-08-08T09:56:06.622] [INFO] default - item A010D0X data_index done
[2020-08-08T09:56:20.481] [INFO] default - item A010D0X monthdata done
[2020-08-08T09:56:21.038] [INFO] default - item A010D0Y data_index done
[2020-08-08T09:56:30.464] [INFO] default - item A010D0Y monthdata done
[2020-08-08T09:56:30.796] [INFO] default - item A010D0Z data_index done
[2020-08-08T09:56:34.031] [INFO] default - item A010D0Z monthdata done
[2020-08-08T09:56:34.296] [INFO] default - item A010D10 data_index done
[2020-08-08T09:56:37.539] [INFO] default - item A010D10 monthdata done
[2020-08-08T09:56:38.162] [INFO] default - item A010D11 data_index done
[2020-08-08T09:56:47.564] [INFO] default - item A010D11 monthdata done
[2020-08-08T09:56:47.937] [INFO] default - item A010D12 data_index done
[2020-08-08T09:56:52.814] [INFO] default - item A010D12 monthdata done
[2020-08-08T09:56:53.121] [INFO] default - item A010D13 data_index done
[2020-08-08T09:56:56.202] [INFO] default - item A010D13 monthdata done
[2020-08-08T09:56:56.633] [INFO] default - item A010D14 data_index done
[2020-08-08T09:57:02.919] [INFO] default - item A010D14 monthdata done
[2020-08-08T09:57:05.817] [INFO] default - item A010E data_index done
[2020-08-08T09:57:18.852] [INFO] default - item A010E monthdata done
[2020-08-08T09:57:21.904] [INFO] default - item A010F data_index done
[2020-08-08T09:57:35.860] [INFO] default - item A010F monthdata done
[2020-08-08T09:57:37.688] [INFO] default - item A010G01 data_index done
[2020-08-08T09:57:45.315] [INFO] default - item A010G01 monthdata done
[2020-08-08T09:57:46.196] [INFO] default - item A010G02 data_index done
[2020-08-08T09:57:49.543] [INFO] default - item A010G02 monthdata done
[2020-08-08T09:57:51.738] [INFO] default - item A010G03 data_index done
[2020-08-08T09:58:01.560] [INFO] default - item A010G03 monthdata done
[2020-08-08T09:58:02.655] [INFO] default - item A010G04 data_index done
[2020-08-08T09:58:07.088] [INFO] default - item A010G04 monthdata done
[2020-08-08T09:58:08.363] [INFO] default - item A010G05 data_index done
[2020-08-08T09:58:13.797] [INFO] default - item A010G05 monthdata done
[2020-08-08T09:58:14.733] [INFO] default - item A010G06 data_index done
[2020-08-08T09:58:17.930] [INFO] default - item A010G06 monthdata done
[2020-08-08T09:58:18.208] [INFO] default - item A0201 data_index done
[2020-08-08T09:58:22.034] [INFO] default - item A0201 monthdata done
[2020-08-08T09:58:23.016] [INFO] default - item A0202 data_index done
[2020-08-08T09:58:40.368] [INFO] default - item A0202 monthdata done
[2020-08-08T09:58:49.492] [INFO] default - item A0203 data_index done
[2020-08-08T09:59:34.943] [INFO] default - item A0203 monthdata done
[2020-08-08T09:59:48.191] [INFO] default - item A0204 data_index done
[2020-08-08T10:00:09.602] [INFO] default - item A0204 monthdata done
[2020-08-08T10:00:18.266] [INFO] default - item A0205 data_index done
[2020-08-08T10:02:17.387] [INFO] default - item A0205 monthdata done
[2020-08-08T10:02:17.875] [INFO] default - item A020601 data_index done
[2020-08-08T10:02:20.229] [INFO] default - item A020601 monthdata done
[2020-08-08T10:02:21.042] [INFO] default - item A020602 data_index done
[2020-08-08T10:02:23.477] [INFO] default - item A020602 monthdata done
[2020-08-08T10:02:24.317] [INFO] default - item A020603 data_index done
[2020-08-08T10:02:26.712] [INFO] default - item A020603 monthdata done
[2020-08-08T10:02:27.550] [INFO] default - item A020604 data_index done
[2020-08-08T10:02:29.677] [INFO] default - item A020604 monthdata done
[2020-08-08T10:02:33.992] [INFO] default - item A020605 data_index done
[2020-08-08T10:02:37.952] [INFO] default - item A020605 monthdata done
[2020-08-08T10:02:38.783] [INFO] default - item A020606 data_index done
[2020-08-08T10:02:40.968] [INFO] default - item A020606 monthdata done
[2020-08-08T10:02:41.925] [INFO] default - item A020607 data_index done
